"NUM_DISTRICT","Coderre","Bergeron","Joly"
101,2481,1829,3024
102,2525,1163,2675
11,3348,2770,2532
111,1734,4782,2514
112,1770,5933,3044
113,1455,3599,2316
12,3252,2521,2543
121,5456,1760,3330
122,4734,1879,2852
123,5737,958,1656
13,2979,3430,2873
131,1827,6408,2815
132,2331,5748,2788
133,2670,4962,3234
134,3673,3155,2431
14,3612,1554,2081
141,4308,1320,3959
142,4104,1459,2822
151,3931,882,1641
152,5387,1184,1908
161,2432,3368,3578
162,2566,2092,2438
171,3347,2562,3291
172,2476,2631,2849
181,1451,754,1894
182,1906,2169,2282
183,1347,2827,2271
191,3668,984,1220
192,2878,2666,2039
193,2201,5819,2782
194,2420,1793,1402
21,2184,691,1076
22,1589,708,1172
23,2526,851,1286
31,1873,1182,1232
32,1644,1950,1578
33,1548,1503,1636
34,1773,2653,3262
35,2040,1437,2648
41,1165,832,1266
42,1193,653,1157
43,1325,1205,1908
51,4201,1642,3717
52,3536,1330,2943
61,631,258,998
62,595,226,1068
63,518,224,690
64,332,131,326
71,3694,2589,3454
72,2746,3250,3139
73,1546,3679,2675
74,3509,2178,2338
81,6591,1085,1435
82,6229,780,1051
91,996,643,423
92,540,833,592
93,446,465,419
94,491,698,489
